"","cat_pais","ncat_eleccion","ncat_ronda","satisfaccion","source_satisfaccion"
"241","Venezuela",1968,1,NA,NA
"242","Venezuela",1973,1,NA,NA
"243","Venezuela",1978,1,NA,NA
"244","Venezuela",1983,1,NA,NA
"245","Venezuela",1988,1,NA,NA
"246","Venezuela",1993,1,NA,NA
"247","Venezuela",1998,1,0.354166666666667,"Promedio de valores provenientes de:Latinobarometro"
"248","Venezuela",2000,1,0.545833333333333,"Promedio de valores provenientes de:Latinobarometro"
"249","Venezuela",2006,1,0.566948123620309,"Promedio de valores provenientes de:LAPOP;Latinobarometro"
"250","Venezuela",2012,1,0.374166666666666,"Promedio de valores provenientes de:LAPOP;Valor proyectado segun ultimo valor disponible Latinobarometro"
"251","Venezuela",2013,1,0.362083333333334,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Latinobarometro"
"252","Venezuela",2018,1,0.26125,"Promedio de valores provenientes de:Valor proyectado segun ultimo valor disponible LAPOP;Proyectado. Ultimo valor disponible Latinobarometro"
