"","cat_pais","ncat_eleccion","ncat_ronda","avgpropdebatesregionxciclo","lagpropdebatesregion","lagndebatesregion","source_region"
"237","Guatemala",2019,1,0.804166666666667,0.666666666666667,6,"Calculo con base en data recabada para Franco H. (2022)"
"238","Guatemala",2023,1,0.735119047619048,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"239","Colombia",1994,1,0.432142857142857,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"240","Colombia",1998,1,0.3375,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"241","Colombia",2010,1,0.489583333333333,0.375,3,"Calculo con base en data recabada para Franco H. (2022)"
"242","Colombia",2014,1,0.708333333333333,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"243","Colombia",2018,1,0.825,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"244","Colombia",2022,1,0.693452380952381,0.857142857142857,6,"Calculo con base en data recabada para Franco H. (2022)"
"245","Costa Rica",2002,1,0.291666666666667,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"246","Costa Rica",2014,1,0.708333333333333,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"247","Costa Rica",2018,1,0.825,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"248","Costa Rica",2022,1,0.693452380952381,0.857142857142857,6,"Calculo con base en data recabada para Franco H. (2022)"
"249","Republica Dominicana",1996,1,0.425,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"250","El Salvador",1984,1,0.35,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"251","El Salvador",1994,1,0.456825396825397,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"252","El Salvador",2014,1,0.641666666666667,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
