"","cat_pais","ncat_eleccion","ncat_ronda","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled"
"118","Ecuador",2021,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",19,"19"
"119","Ecuador",2023,2,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",21,"21"
"120","Ecuador",2023,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",21,"21"
"121","El Salvador",1984,2,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"122","El Salvador",1984,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"123","El Salvador",1989,1,5,"Base Qof p_durable",6,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",6,"6"
"124","El Salvador",1994,2,10,"Base Qof p_durable",11,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",11,"11"
"125","El Salvador",1994,1,10,"Base Qof p_durable",11,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",11,"11"
"126","El Salvador",1999,1,15,"Base Qof p_durable",16,"Base Qof bmr_demdur",15,"Mainwaring & Su (2021) - age_demo",16,"16"
"127","El Salvador",2004,1,20,"Base Qof p_durable",21,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",21,"21"
"128","El Salvador",2009,1,25,"Base Qof p_durable",26,"Base Qof bmr_demdur",25,"Mainwaring & Su (2021) - age_demo",26,"26"
"129","El Salvador",2014,2,30,"Base Qof p_durable",31,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",31,"31"
"130","El Salvador",2014,1,30,"Base Qof p_durable",31,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",31,"31"
"131","El Salvador",2019,1,NA,NA,36,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",36,"36"
"132","El Salvador",2024,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",41,"41"
"133","Guatemala",1966,1,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"134","Guatemala",1970,1,4,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"135","Guatemala",1974,1,0,"Base Qof p_durable",5,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",5,"5"
"136","Guatemala",1978,1,4,"Base Qof p_durable",9,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",9,"9"
"137","Guatemala",1982,1,8,"Base Qof p_durable",13,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",13,"13"
"138","Guatemala",1985,2,0,"Base Qof p_durable",16,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",16,"16"
"139","Guatemala",1985,1,0,"Base Qof p_durable",16,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",16,"16"
"140","Guatemala",1991,1,4,"Base Qof p_durable",5,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",5,"5"
"141","Guatemala",1991,2,5,"Base Qof p_durable",6,"Base Qof bmr_demdur",5,"Mainwaring & Su (2021) - age_demo",5,"5"
"142","Guatemala",1995,2,9,"Base Qof p_durable",10,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",10,"10"
"143","Guatemala",1995,1,9,"Base Qof p_durable",10,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",10,"10"
"144","Guatemala",1999,2,3,"Base Qof p_durable",14,"Base Qof bmr_demdur",14,"Mainwaring & Su (2021) - age_demo",14,"14"
"145","Guatemala",1999,1,3,"Base Qof p_durable",14,"Base Qof bmr_demdur",14,"Mainwaring & Su (2021) - age_demo",14,"14"
"146","Guatemala",2003,2,7,"Base Qof p_durable",18,"Base Qof bmr_demdur",18,"Mainwaring & Su (2021) - age_demo",18,"18"
"147","Guatemala",2003,1,7,"Base Qof p_durable",18,"Base Qof bmr_demdur",18,"Mainwaring & Su (2021) - age_demo",18,"18"
"148","Guatemala",2007,2,11,"Base Qof p_durable",22,"Base Qof bmr_demdur",22,"Mainwaring & Su (2021) - age_demo",22,"22"
"149","Guatemala",2007,1,11,"Base Qof p_durable",22,"Base Qof bmr_demdur",22,"Mainwaring & Su (2021) - age_demo",22,"22"
"150","Guatemala",2011,2,15,"Base Qof p_durable",26,"Base Qof bmr_demdur",26,"Mainwaring & Su (2021) - age_demo",26,"26"
"151","Guatemala",2011,1,15,"Base Qof p_durable",26,"Base Qof bmr_demdur",26,"Mainwaring & Su (2021) - age_demo",26,"26"
"152","Guatemala",2015,2,19,"Base Qof p_durable",30,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",30,"30"
"153","Guatemala",2015,1,19,"Base Qof p_durable",30,"Base Qof bmr_demdur",30,"Mainwaring & Su (2021) - age_demo",30,"30"
"154","Guatemala",2019,2,NA,NA,34,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",34,"34"
"155","Guatemala",2019,1,NA,NA,34,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",34,"34"
"156","Guatemala",2023,2,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",38,"38"
"157","Guatemala",2023,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",38,"38"
"158","Honduras",1981,1,0,"Base Qof p_durable",10,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",10,"10"
"159","Honduras",1985,1,3,"Base Qof p_durable",4,"Base Qof bmr_demdur",4,"Mainwaring & Su (2021) - age_demo",4,"4"
"160","Honduras",1989,1,7,"Base Qof p_durable",8,"Base Qof bmr_demdur",8,"Mainwaring & Su (2021) - age_demo",8,"8"
"161","Honduras",1993,1,11,"Base Qof p_durable",12,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",12,"12"
"162","Honduras",1997,1,15,"Base Qof p_durable",16,"Base Qof bmr_demdur",16,"Mainwaring & Su (2021) - age_demo",16,"16"
"163","Honduras",2001,1,19,"Base Qof p_durable",20,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",20,"20"
"164","Honduras",2005,1,23,"Base Qof p_durable",24,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",24,"24"
"165","Honduras",2009,1,27,"Base Qof p_durable",1,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",1,"1"
"166","Honduras",2013,1,31,"Base Qof p_durable",4,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",4,"4"
"167","Honduras",2017,1,35,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1"
"168","Honduras",2021,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",5,"5"
"169","Mexico",1982,1,5,"Base Qof p_durable",161,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"170","Mexico",1988,1,0,"Base Qof p_durable",167,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
"171","Mexico",1994,1,0,"Base Qof p_durable",173,"Base Qof bmr_demdur",6,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur"
